"SYMBOL","ENTREZID"
"chr10",NA
"SYS1","90196"
"KPNB1","3837"
"EIF6","3692"
"CCT2","10576"
"YARS","8565"
"EFTUD2","9343"
"PRPF19","27339"
"SF3B3","23450"
"BUB3","9184"
"COPB1","1315"
"CCT4","10575"
"WDR43","23160"
"PRPF6","24148"
"EIF3D","8664"
"EIF4A3","9775"
"POLE2","5427"
"POLR1C","9533"
"CCT7","10574"
"RUVBL1","8607"
"FAM96B",NA
"POLA2","23649"
"GARS","2617"
"POLR2E","5434"
"KAT8","84148"
"CDC20","991"
"CKAP5","9793"
"FARSB","10056"
"ALG2","85365"
"ATP6V1A","523"
"PCNA","5111"
"COPB2","9276"
"CIRH1A",NA
"UMPS","7372"
"SRBD1","55133"
"EEF2","1938"
"SARS","6301"
"OPA1","4976"
"MCL1","4170"
"RNGTT","8732"
"IMP3","55272"
"PLK1","5347"
"DONSON","29980"
"PSMD13","5719"
"EIF3A","8661"
"SNRNP70","6625"
"TUBGCP6","85378"
"POLR1A","25885"
"PSMA5","5686"
"CENPA","1058"
"HINFP","25988"
"CDC5L","988"
"DBR1","51163"
"POLR2A","5430"
"LSM7","51690"
"SF1","7536"
"FARSA","2193"
"NPLOC4","55666"
"VARS","7407"
"RCC1","1104"
"DHX15","1665"
"TXNL4A","10907"
"GART","2618"
"PGD","5226"
"ARCN1","372"
"SFPQ","6421"
"COPG1","22820"
"BYSL","705"
"SPATA5","166378"
"PDCD7","10081"
"INCENP","3619"
"NOP2","4839"
"DDB1","1642"
"IMP4","92856"
"RUVBL2","10856"
"CDC16","8881"
"SMC4","10051"
"UTP6","55813"
"PSMC2","5701"
"DTYMK","1841"
"PSMD14","10213"
"CRTC3","64784"
"ZER1","10444"
"GPS1","2873"
"NCL","4691"
"DPAGT1","1798"
"PHB2","11331"
"TICRR","90381"
"RPS5","6193"
"EIF3B","8662"
"CCT3","7203"
"TBL3","10607"
"POLR2C","5432"
"VPS25","84313"
"DHX37","57647"
"EIF2B1","1967"
"SLC7A6OS","84138"
"RPA1","6117"
"CENPM","79019"
"SNRNP200","23020"
"RPN2","6185"
"NOP56","10528"
"IARS","3376"
"ACTL6A","86"
"KIF23","9493"
"WDR46","9277"
"KIF11","3832"
"ATP5B",NA
"SRP54","6729"
"CTU2","348180"
"NOC4L","79050"
"TONSL","4796"
"PSMD1","5707"
"POLR3C","10623"
"ANAPC4","29945"
"ACTR1A","10121"
"TOP1","7150"
"COPS6","10980"
"NUP133","55746"
"SUPT6H","6830"
"EIF2B2","8892"
"SRSF1","6426"
"ELP6","54859"
"COPS3","8533"
"TKT","7086"
"XPO1","7514"
"NUP85","79902"
"COPA","1314"
"SPC24","147841"
"VCP","7415"
"GNB2L1",NA
"DDX46","9879"
"WEE1","7465"
"NOL10","79954"
"NCBP1","4686"
"RABGGTB","5876"
"STRIP1","85369"
"CLTC","1213"
"PPP1R10","5514"
"CCDC84","338657"
"RRM1","6240"
"UTP18","51096"
"TTC27","55622"
"DDX21","9188"
"TUT1","64852"
"PMPCA","23203"
"PSMB4","5692"
"MCM7","4176"
"PFDN2","5202"
"C3orf17",NA
"USP39","10713"
"PRPF8","10594"
"PGP","283871"
"AARS","16"
"TIMM44","10469"
"YARS2","51067"
"DHX35","60625"
"RCL1","10171"
"TSR1","55720"
"ECT2","1894"
"NARS","4677"
"ROMO1","140823"
"TARS2","80222"
"HGS","9146"
"PPP1R15B","84919"
"ALDOA","226"
"TACC3","10460"
"SLC35B1","10237"
"TERF2","7014"
"GINS2","51659"
"MAD2L2","10459"
"NOP9","161424"
"AQR","9716"
"ATP2A2","488"
"QARS","5859"
"WDHD1","11169"
"SNUPN","10073"
"CSTF1","1477"
"MTPAP","55149"
"RAE1","8480"
"DCTN2","10540"
"SF3B5","83443"
"NIP7","51388"
"CPSF2","53981"
"EIF3G","8666"
"RBM25","58517"
"PSMA7","5688"
"DHX33","56919"
"CTDP1","9150"
"XRN2","22803"
"HJURP","55355"
"SF3A2","8175"
"HCFC1","3054"
"U2AF2","11338"
"NDUFAB1","4706"
"WDR74","54663"
"UTP23","84294"
"PSMC3","5702"
"ILF2","3608"
"SF3B2","10992"
"PSMA1","5682"
"MEPCE","56257"
"MED20","9477"
"ARL2","402"
"KIAA1429",NA
"SRPR",NA
"RNPC3","55599"
"PRPF3","9129"
"EIF2B4","8890"
"TTI2","80185"
"LRR1","122769"
"GFER","2671"
"VPS18","57617"
"SMC2","10592"
"MASTL","84930"
"PSMB2","5690"
"NCBP2","22916"
"PRPF4","9128"
"POLR3A","11128"
"RRP9","9136"
"RANBP2","5903"
"DDX41","51428"
"MAU2","23383"
"MARS","4141"
"VHL","7428"
"NUMA1","4926"
"SRSF7","6432"
"POLR3H","171568"
"NSF","4905"
"DDX55","57696"
"FDX1L",NA
"SCFD1","23256"
"RANGAP1","5905"
"PRC1","9055"
"MOCS3","27304"
"CASC5",NA
"NUP153","9972"
"CWC22","57703"
"MCM5","4174"
"USPL1","10208"
"CPSF6","11052"
"PES1","23481"
"WDR3","10885"
"C18orf21","83608"
"MRPS24","64951"
"DDOST","1650"
"MFAP1","4236"
"PSMB6","5694"
"MDN1","23195"
"MRPL43","84545"
"MMS22L","253714"
"CHMP6","79643"
"ELAC2","60528"
"ANAPC2","29882"
"OIP5","11339"
"AURKB","9212"
"OSGEP","55644"
"DDX47","51202"
"PSMB7","5695"
"MCM3","4172"
"NDNL2",NA
"UTP15","84135"
"REV3L","5980"
"TMED2","10959"
"HEATR1","55127"
"CSTF3","1479"
"GTF3C1","2975"
"WDR70","55100"
"UBA1","7317"
"PI4KA","5297"
"XYLT2","64132"
"NSL1","25936"
"TYMS","7298"
"NUP98","4928"
"INTS9","55756"
"CUL3","8452"
"ESF1","51575"
"FBL","2091"
"PPWD1","23398"
"KANSL3","55683"
"WDR25","79446"
"ABCB7","22"
"ATP6V0B","533"
"UPF1","5976"
"PSMB1","5689"
"NOL7","51406"
"CCNA2","890"
"SRSF2","6427"
"CHMP2A","27243"
"THOC2","57187"
"ZNHIT2","741"
"SLC39A9","55334"
"TRAPPC11","60684"
"MRPL18","29074"
"SF3B4","10262"
"C15orf41","84529"
"GNL2","29889"
"DDX56","54606"
"TSR2","90121"
"SF3B1","23451"
"RBM48","84060"
"HSPA5","3309"
"TARS","6897"
"CTR9","9646"
"SNRPB","6628"
"DDX24","57062"
"DDX5","1655"
"HAUS5","23354"
"NUDCD3","23386"
"ISG20L2","81875"
"IARS2","55699"
"VPRBP",NA
"PRMT5","10419"
"DNAJC17","55192"
"AFG3L2","10939"
"NMT1","4836"
"NUP93","9688"
"RPN1","6184"
"SSU72","29101"
"EIF3I","8668"
"PFAS","5198"
"RICTOR","253260"
"PWP2","5822"
"TUBGCP3","10426"
"CDCA8","55143"
"BCS1L","617"
"DDX52","11056"
"TP53RK","112858"
"PSMD11","5717"
